id,studiengaenge,total_score_with_Bouns,Bouns,total_score,Q1 ,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9
69,IN,28.5,0.5,28,4,4,4,0,4,2,3,1,6
70,BT,16.5,2.5,14,4,1,3,0,1,2,1,2,0
71,IN,24,3,21,3,0,2,4,0,2,3,1,6
72,BT,16,2,14,2,2,0,0,3,5,0,2,0
73,II,34,2,32,1,4,0,5.5,6.5,3,3,3,6
74,BT,24.5,5,19.5,2,0,4,1.5,2.5,2,1.5,1,5
75,II,28,4,24,0,1,4,2,4,6,3,2,2
76,BT,26,3.5,22.5,0,3,3,4,3.5,7,2,0,0
77,BT,21,"2,5",21,1,1,2,2,3,2,3,3,4
78,BT,23,1,22,5,1,4,0,5,0,2,3,2
79,IN,20,2,18,6,4,1,0,1,5,0,1,0
80,IN,34,0,34,2,6,4,6,7,3,2,0,4
81,IN,41.5,1,40.5,5,4,1,6,7.5,7,3,0,7
82,BT,15,,15,5,0,0,0,3,3,3,1,0
83,BT,32.5,4.5,28,0,4,1,4,7,2,2,2,6
84,II,34.5,5,29.5,2,5,1,6,3.5,3,2,3,4
85,IN,34,0,34,4,2,4,6,6,1,3,3,5
86,BT,25,3,22,2,0,0,2,4,7,2,0,5
87,II,37,4,33,4,5,0,4,5,5,3,1,6
88,BT,14,5,9,3,1,4,0,0,0,0,1,0
89,IN,10.5,0,10.5,1,2,4,0,0.5,1,1,1,0
90,BT,19,4,15,5,0,2,0,0,4,3,1,0
91,?,27,5,22,6,1,4,1,0,1,3,2,4
92,BT,17,3,14,0,0.5,0,2,4.5,2,2,3,0
93,IN,36,3,33,6,3,3,0,8,4,3,1,5
94,BT,33,2,31,5,2,3,6,4,0,2,3,6
95,IN,36.5,3,33.5,0,6,4,4,7,0,3,3,6.5
96,?,23,3,20,1,1,1,0,6,2,2,1,6
97,BT,33.5,4.5,29,6,0,3,4,0,7,2,3,4
98,BT,28.5,2.5,26,0,2.5,0,3.5,4.5,5,2.5,3,5
99,IN,16.5,0,16.5,4,3,3,1.5,0,2,0,3,0
100,?,8.5,3.5,5,1,0,0,0,0,0,3,1,0
101,BT,31,0,31,6,3,0,6,4,3,2,1,6
102,BT,31.5,,31.5,1,1,2,6,4.5,6,3,3,5
103,II,39.5,4.5,35,0,6,0,6,7,6,3,1,6
104,BT,16.5,2.5,14,6,2,0,0,6,0,0,0,0
105,?,37.5,2.5,35,1,3,2,6,7,6,3,1,6
106,IN,40,4,36,5,4,1,6,8,1,3,1,7
107,BT,21.5,4.5,17,4,2,1,0,0,6,3,0,1
108,IN,43.5,4.5,39,5,6,4,6,5,1,3,2,7
109,BT,18.5,2.5,16,3,0,4,0,0,3,2,3,1
110,BT,34,2,32,1,3,4,6,6,0,3,3,6
111,BT,25,5,20,6,3,2,0,4,3,0,1,1
112,BT,14.5,1.5,13,1,0,1,0,0,7,2,2,0
113,BT,15.5,5,10.5,6,0,2,0,0,0,1.5,1,0
114,IN,39,3.5,35.5,2,2,4,6,5.5,5,3,1,7
115,BT,42,4.5,37.5,3,6,3,5,4.5,6,3,1,6
116,IN,30,2.5,27.5,2,3,1,4,7.5,0,3,0,7
117,BT,23,0,23,0,4,0,4,8,2,3,2,0
118,II,24.5,1.5,23,5,1,3,4,4,3,0,3,0
119,BT,38,4,34,1,5,3,3,7,4,3,3,5
120,IN,15,2,13,0,2,1,4,5,1,0,0,0
121,IN,35,2,33,1,6,1,4,7,3,3,2,6
122,?,34,1.5,32.5,2,4,4,4,7.5,6,3,0,2
123,BT,30,5,25,2,3,4,1,0,4,3,3,5
124,II,29.5,3.5,26,2,4,0,6,4,2,2,0,6
125,IN,14,0.5,13.5,2,2.5,3,0,1.5,0,0.5,1,3
126,BT,19,0,19,4,2,3,0,0,6,2,2,0
127,BT,39.5,3.5,36,6,4,4,0,6,6,3,1,6
128,BT,26.5,1.5,25,0,2.5,2,3,4.5,4,3,0,6
129,BT,38.5,5,33.5,0,4,3,6,7.5,2,3,2,6

